Area,Lengths,Widths,Ratios
7173,357,30.463092423455635,11.719099132730237
6491,337,22.627416997969522,14.893436578741657
7227,321,29.120439557122072,11.023185256882295
6904,331,28.635642126552707,11.55902139498652
7656,319,25.45584412271571,12.531503511028259
6830,289,30.59411708155671,9.446260509155863
6686,344,24.73863375370596,13.905375835416425
6778,322,30.0,10.733333333333333
6367,306,29.120439557122072,10.50808314207471
6479,384,22.627416997969522,16.97056274847714
5457,282,24.08318915758459,11.709412659377335
6890,327,24.413111231467404,13.394441900486312
6772,376,27.85677655436824,13.497613382013476
